Epoch,Loss
325,1.3264
326,1.3153
327,1.3362
328,1.3335
329,1.3206
330,1.3144
331,1.302
332,1.3023
333,1.2948
334,1.2989
335,1.3133
336,1.2867
337,1.283
338,1.2874
339,1.2577
340,1.2818
341,1.2761
342,1.2829
343,1.2699
344,1.2732
345,1.2981
346,1.2615
347,1.2575
348,1.2846
349,1.2634
350,1.2828
351,1.26
352,1.2455
353,1.2559
354,1.2485
355,1.2489
356,1.2274
357,1.2509
358,1.2555
359,1.2243
360,1.2447
361,1.224
362,1.2344
363,1.2146
364,1.1974
365,1.2201
366,1.2178
367,1.2104
368,1.2208
369,1.1936
370,1.1882
371,1.206
372,1.201
373,1.2056
374,1.1845
375,1.19
376,1.1829
377,1.1968
378,1.1768
379,1.1736
380,1.1712
381,1.1777
382,1.1777
383,1.1865
384,1.1645
385,1.1463
386,1.1386
387,1.1576
388,1.1505
389,1.1774
390,1.152
391,1.1335
392,1.1501
393,1.127
394,1.1547
395,1.1428
396,1.1397
397,1.1513
398,1.1225
399,1.1315
400,1.139
401,1.1268
402,1.116
403,1.11
404,1.1148
405,1.0957
406,1.1074
407,1.0991
408,1.104
409,1.1101
410,1.0969
411,1.0998
412,1.0973
413,1.1046
414,1.0872
415,1.0886
416,1.0875
417,1.0949
418,1.076
419,1.0896
420,1.0923
421,1.0772
422,1.0859
423,1.0637
424,1.0676
425,1.085
426,1.0692
427,1.0683
428,1.0639
429,1.0663
430,1.0622
431,1.0646
432,1.0574
433,1.0514
434,1.066
435,1.0577
436,1.0441
437,1.0495
438,1.0479
439,1.0354
440,1.0544
441,1.038
442,1.0124
443,1.0177
444,1.0576
445,1.0295
446,1.0322
447,1.0276
448,1.012
449,1.0234
450,1.013
451,1.0192
452,1.0202
453,1.0049
454,1.0132
455,0.9979
456,1.0148
457,1.0019
458,1.0097
459,1.0253
460,0.9914
461,0.991
462,0.9798
463,0.9948
464,0.9843
465,0.9848
466,0.968
467,0.9817
468,0.9868
469,0.9549
470,0.9697
471,0.9507
472,0.9853
473,0.9555
474,0.9924
475,0.9905
476,0.9545
477,0.9774
478,0.9512
479,0.9558
480,0.9284
481,0.9795
482,0.9625
483,0.9462
484,0.9502
485,0.9471
486,0.9546
487,0.9389
488,0.9316
489,0.9503
490,0.9341
491,0.9333
492,0.9365
493,0.9419
494,0.9341
495,0.9232
496,0.9342
497,0.9339
498,0.929
499,0.9197
500,0.9085
501,0.9416
502,0.9205
503,0.905
504,0.927
505,0.9099
506,0.9167
507,0.916
508,0.9325
509,0.902
510,0.9209
511,0.9073
512,0.9042
513,0.9145
514,0.8864
515,0.894
516,0.9088
517,0.9032
518,0.8799
519,0.8797
520,0.8996
521,0.8842
522,0.8796
523,0.8894
524,0.8739
525,0.8699
526,0.8873
527,0.8817
528,0.8862
529,0.876
530,0.8697
531,0.8625
532,0.8758
533,0.8659
534,0.8686
535,0.8676
536,0.857
537,0.8464
538,0.866
539,0.843
540,0.8617
541,0.855
542,0.8658
543,0.8471
544,0.866
545,0.8285
546,0.8326
547,0.8474
548,0.8498
549,0.8478
550,0.8425
551,0.8473
552,0.8475
553,0.8568
554,0.8296
555,0.8368
556,0.8313
557,0.8463
558,0.8159
559,0.8294
560,0.8126
561,0.813
562,0.8344
563,0.8154
564,0.8198
565,0.8174
566,0.8136
567,0.8222
568,0.8346
569,0.8187
570,0.8208
571,0.7994
572,0.8101
573,0.8078
574,0.8031
575,0.8123
576,0.7947
577,0.7929
578,0.7853
579,0.8111
580,0.7933
581,0.7915
582,0.7869
583,0.7916
584,0.8052
585,0.7868
586,0.7903
587,0.7832
588,0.7916
589,0.7869
590,0.7832
591,0.7847
592,0.777
593,0.7891
594,0.7776
595,0.7808
596,0.7786
597,0.7765
598,0.789
599,0.7686
600,0.7762
601,0.7643
602,0.7675
603,0.7868
604,0.7629
605,0.7859
606,0.7583
607,0.7627
608,0.7494
609,0.7599
610,0.7438
611,0.7434
612,0.7575
613,0.755
614,0.769
615,0.7656
616,0.7701
617,0.7454
618,0.743
619,0.7492
620,0.7496
621,0.7403
622,0.752
623,0.7546
624,0.746
625,0.7445
626,0.7351
627,0.7474
628,0.7396
629,0.7303
630,0.7441
631,0.7379
632,0.7299
633,0.7317
634,0.7331
635,0.7264
636,0.7284
637,0.7345
638,0.7241
639,0.7368
640,0.7309
641,0.7343
642,0.7234
643,0.7103
644,0.7182
645,0.7256
646,0.7158
647,0.7217
648,0.7118
649,0.7021
650,0.7206
651,0.7139
652,0.6918
653,0.7048
654,0.701
655,0.7185
656,0.7016
657,0.7038
658,0.7304
659,0.7011
660,0.7057
661,0.6949
662,0.7008
663,0.6875
664,0.7006
665,0.6925
666,0.7081
667,0.6978
668,0.6844
669,0.6917
670,0.6799
671,0.6837
672,0.6816
673,0.6788
674,0.6736
675,0.6977
676,0.6982
677,0.6795
678,0.6841
679,0.6936
680,0.6724
681,0.6725
682,0.6769
683,0.6753
684,0.69
685,0.6752
686,0.6806
687,0.6647
688,0.6731
689,0.6581
690,0.6751
691,0.6643
692,0.6548
693,0.6719
694,0.6671
695,0.6659
696,0.6561
697,0.6687
698,0.6566
699,0.6523
700,0.6562
701,0.6566
702,0.6604
703,0.6547
704,0.6453
705,0.6452
706,0.65
707,0.6408
708,0.6419
709,0.6356
710,0.6551
711,0.6404
712,0.6558
713,0.6449
714,0.6321
715,0.647
716,0.6414
717,0.6358
718,0.6528
719,0.6446
720,0.6311
721,0.6446
722,0.6362
723,0.6275
724,0.6396
725,0.6381
726,0.6409
727,0.6351
728,0.6173
729,0.62
730,0.6331
731,0.6415
732,0.6249
733,0.5986
734,0.6262
735,0.6193
736,0.6232
737,0.6166
738,0.6174
739,0.614
740,0.6078
741,0.6354
742,0.6189
743,0.5976
744,0.6274
745,0.6242
746,0.6159
747,0.6129
748,0.613
749,0.6005
